id,name,area,category,description,tags,indoor_outdoor,weather_fit,family_fit,nightlife,approx_distance_area,notes
GOA-001,Candolim Beach & Water Sports,Candolim,beaches,Scenic and relatively relaxed sandy beach famous for parasailing jet skis and tranquil shoreline walks.,beach;water sports;sunset;relaxed,outdoor,dry_only,true,false,Walking distance within Candolim,Outdoor water sports stop operating during rain or high wind.
GOA-002,Fort Aguada & Lighthouse,Candolim,heritage,17th-century Portuguese fortress and lighthouse overlooking the confluence of the Mandovi River and Arabian Sea.,heritage;sightseeing;history;views,outdoor,dry_only,true,false,5-8 mins drive from central Candolim,Open ramparts with steep stone steps slippery during rain.
GOA-003,Houses of Goa Museum,Candolim,indoor_alternatives,Fascinating multi-level ship-shaped architectural museum celebrating traditional Goan-Portuguese residential design.,museum;architecture;culture;indoor;rain_safe,indoor,all_weather,true,false,12-15 mins drive from Candolim,Completely indoor and ideal rainy day cultural excursion.
GOA-004,Mario Miranda Gallery & Art Cafe,Candolim,indoor_alternatives,Vibrant gallery displaying iconic illustrations caricatures Goan cultural prints and handcrafted souvenirs.,art;shopping;culture;indoor;rain_safe,indoor,all_weather,true,false,In central Candolim on Fort Aguada Road,Air-conditioned indoor space with boutique coffee counter.
GOA-005,Reis Magos Fort & Cultural Centre,Candolim,indoor_alternatives,Restored 1551 fortress boasting covered historical galleries Mario Miranda art exhibits and indoor naval displays.,heritage;art;indoor exhibits;culture,covered,all_weather,true,false,10 mins drive from Candolim,Has extensive indoor exhibition halls protected from monsoon showers.
GOA-006,Calamari Bathe & Binge,Candolim,food,Popular beachfront restaurant serving Goan seafood butter garlic prawns cocktails and chilled acoustic vibes.,food;seafood;beach shack;cocktails,outdoor,dry_only,true,true,Beachfront Candolim,Open-air shack seating on the sand canopy available for light drizzle.
GOA-007,Fisherman's Wharf,Panjim,food,Celebrated riverside dining destination with covered dining halls serving authentic Goan fish curry and recheado crab.,food;fine dining;goan cuisine;indoor;covered,indoor,all_weather,true,false,20 mins drive from Candolim,Spacious sheltered indoor and river-facing seating with live music.
GOA-008,Fontainhas Latin Quarter Indoor Walk & Cafes,Panjim,indoor_alternatives,Historic precinct with vibrant Portuguese houses indoor heritage art spaces and cozy bakeries.,heritage;cafes;bakery;art;rain_safe,covered,all_weather,true,false,20 mins drive from Candolim,Sheltered cafe-hopping gallery visits and indoor heritage boutique tours.
GOA-009,SinQ Night Club & Showbar Exchange,Candolim,nightlife,High-energy nightlife hub featuring upbeat DJ sets indoor club lounge poolside cabanas and signature cocktails.,nightlife;music;dj;drinks;party,indoor,all_weather,false,true,In central Candolim,Features fully air-conditioned indoor club room that is completely rainproof.
GOA-010,Titlie Culinary Bar,Vagator,food,Cliffside culinary bar boasting open-air sunset views over Little Vagator innovative global sharing plates and craft cocktails.,sunset;cocktails;culinary;vibes,outdoor,dry_only,false,true,25 mins drive from Candolim,Open terrace cliff seating best visited on clear evenings.
GOA-011,Gunpowder,Assagao,food,Renowned South Indian coastal haven set in a vintage Portuguese villa courtyard serving Pandi curry and appams.,food;boutique;coastal;heritage villa,covered,all_weather,true,false,20 mins drive from Candolim,Covered heritage veranda dining sheltered from precipitation.
GOA-012,Anjuna Flea Market & Curlies,Anjuna,nightlife,Legendary bohemian beachfront hotspot famous for sunset chillout sessions and psychedelic trance rhythms.,beach party;bohemian;sunset;nightlife,outdoor,dry_only,false,true,20 mins drive from Candolim,Predominantly outdoor beach setup vulnerable to monsoons.
GOA-013,Baga Beach Boardwalk & Tito's Lane,Baga,nightlife,The bustling party epicenter of North Goa packed with lively shacks music lounges and neon-lit lanes.,party;nightlife;bars;lively,outdoor,dry_only,false,true,15 mins drive from Candolim,High footfall outdoor nightlife strip.
GOA-014,Savoi Spice Plantation Experience,Panjim,indoor_alternatives,Organic 200-year-old spice plantation offering covered pavilion botanical tours and traditional buffet lunch.,spice plantation;nature;food;cultural;covered,covered,all_weather,true,false,35 mins drive from Candolim,Covered gazebos and dining pavilions make this a lush rainy-day sensory escape.
GOA-015,Palolem Beach Crescent & Kayaking,Palolem,beaches,Postcard-perfect golden crescent bay in South Goa framed by swaying coconut groves and calm blue waters.,beach;scenic;kayaking;relaxed;south goa,outdoor,dry_only,true,false,90 mins drive from Candolim (South Goa Day Trip),Ideal day trip when weather is dry and sunny.
